t,I,R,D
0,4,0,0
1,2,0,0
2,2,0,0
3,21,0,0
4,21,0,0
5,29,0,0
6,15,0,0
7,16,0,0
8,25,0,0
9,23,0,0
10,4,0,0
11,27,0,0
12,28,0,0
13,21,0,0
14,36,0,0
15,29,0,1
16,6,0,0
17,11,0,0
18,18,41,0
19,12,21,1
20,19,6,2
21,17,18,0
22,14,7,1
23,6,11,1
24,9,19,0
25,9,27,1
26,32,42,0
27,17,14,0
28,21,8,0
29,7,10,0
30,21,7,0
31,3,17,1
32,9,12,0
33,1,12,1
34,9,14,0
35,6,8,0
36,9,4,0
37,11,0,1
38,7,15,0
39,8,11,2
40,6,13,0
41,8,17,0
42,6,15,0
43,33,1,2
44,10,5,1
45,14,11,0
46,5,8,0
47,5,18,0
48,13,5,2
49,5,18,0
50,4,5,0
51,3,2,0
52,2,5,0
53,13,21,0
54,3,18,0
55,11,6,0
56,10,14,1
57,8,7,0
58,5,4,1
59,4,6,0
60,6,9,0
61,2,13,0
62,5,2,0
63,8,6,0
64,1,5,0
65,1,6,1
66,3,5,0
67,1,10,0
68,8,9,0
69,3,6,0
70,4,9,0
71,11,13,2
72,5,2,0
73,18,11,0
74,2,9,0
75,14,12,0
76,8,4,0
77,5,26,0
78,5,2,0
79,2,3,0
80,2,4,1
81,1,2,0
82,2,7,0
83,4,11,0
84,2,12,0
85,11,5,0
86,0,4,0
87,0,8,0
88,1,16,0
89,1,4,0
90,0,14,0
91,0,8,0
92,0,4,0
93,1,4,0
94,0,4,0
95,1,9,1
96,0,9,0
97,1,4,0
98,3,0,0
99,6,1,1
100,17,0,0
101,6,1,0
102,3,0,0
103,17,0,1
104,5,3,0
105,12,0,0
106,5,0,0
107,5,0,1
108,3,4,0
109,4,2,0
110,7,1,1
111,4,3,0
112,5,9,0
113,3,3,0
114,1,9,0
115,4,9,1
116,5,7,0
117,9,6,0
118,3,7,0
119,8,8,0
120,1,10,1
121,1,0,1
122,2,7,0
123,8,2,0
124,12,4,0
125,17,7,1
126,11,1,0
127,7,4,1
128,10,1,0
129,10,5,0
130,32,2,0
131,21,5,1
132,24,6,0
133,25,6,0
134,8,1,0
135,18,1,0
136,10,3,1
137,16,7,0
138,19,9,0
139,6,11,0
140,21,16,0
141,14,10,0
142,8,7,1
143,5,12,0
144,9,25,1
145,9,17,0
146,9,14,0
147,7,16,0
148,10,17,0
149,18,13,0
150,11,21,0
151,21,11,0
152,8,6,0
153,16,17,0
154,12,2,1
155,13,12,0
156,6,6,0
157,17,5,2
158,28,14,0
159,8,9,0
160,13,14,1
161,10,7,1
162,5,15,0
163,6,12,0
164,6,19,0
165,3,14,1
166,7,13,0
167,8,11,0
168,5,19,0
169,14,12,1
170,15,14,0
171,10,31,0
172,16,10,0
173,15,14,0
174,10,4,0
175,17,9,1
176,16,13,0
177,10,0,0
178,14,7,0
179,19,10,0
180,29,2,0
181,18,6,0
182,14,6,0
183,7,12,0
184,28,11,0
185,4,15,0
186,15,17,0
187,29,14,0
188,20,23,1
189,14,21,0
190,14,9,0
191,13,9,0
192,10,13,0
193,7,11,0
194,12,16,1
195,13,18,0
196,8,31,0
197,31,6,0
198,10,12,0
199,2,27,0
200,23,16,1
201,13,20,0
202,15,18,0
203,36,15,0
204,25,7,0
205,23,13,0
206,10,18,0
207,22,16,1
208,29,12,0
209,20,14,0
210,25,13,0
211,17,13,1
212,26,12,0
213,19,8,1
214,24,37,0
215,51,20,0
216,29,18,0
217,33,17,0
218,51,10,0
219,30,53,0
220,29,16,0
221,63,21,1
222,40,30,1
223,38,32,0
224,58,37,0
225,48,60,0
226,44,50,0
227,21,60,1
228,44,44,0
229,65,26,1
230,63,23,2
231,38,28,1
232,42,28,0
233,25,41,1
234,16,57,1
235,31,69,1
236,49,43,0
237,64,44,0
238,61,39,0
239,71,50,0
240,73,40,1
241,46,50,0
242,60,41,0
243,80,44,1
244,95,25,0
245,88,32,1
246,74,40,0
247,73,58,1
248,74,51,2
249,104,64,1
250,88,56,0
251,81,75,1
252,100,68,0
253,87,74,0
254,135,58,2
255,64,85,0
256,107,63,1
257,118,96,1
258,129,98,1
259,186,86,0
260,208,78,1
261,205,82,1
262,141,90,1
263,167,126,1
264,201,101,2
265,230,123,0
266,276,119,0
267,234,120,1
268,338,116,1
269,202,178,1
270,301,175,3
271,298,149,1
272,383,183,3
273,362,194,0
274,331,214,1
275,528,203,1
276,321,235,3
277,389,302,3
278,475,247,4
279,543,264,3
280,514,293,4
281,607,303,5
282,491,325,5
283,429,361,0
284,524,439,1
285,709,447,8
286,747,466,7
287,391,439,8
288,370,368,4
289,510,519,11
290,578,600,2
291,656,540,8
292,518,490,6
293,639,472,7
294,634,522,12
295,522,602,8
296,548,533,3
297,603,414,7
298,678,380,6
